ID,Name,Description,Quantity,Unit Value,Total Value,Category,Location,Inventory Type ID,Parent Item ID,Barcode,Reorder Point,manufacturer,casing,roundCount,grainWeight,cartridgeType,caliber,serialNumber,barrelLength,action,frame,weight,condition,triggerPull,reticleType,magnification,mountType,eyeRelief,batteryType,accessoryType,activationMethod,runtime,objectiveLens,ID,Total Value,Inventory Type ID,Parent Item ID,lumens,candela,beamDistance,Created At,Updated At,Created At,Updated At
45,Holosun Iris-GR4,"The Holosun IRIS-GR4 is a quad-function weapon-mounted aiming and illumination system — essentially a high-end laser/light combo unit for rifles. Here's what it packs:

Four Functions (that's the ""4"" in the name):

* **Visible green laser** — 5mW Class 3R aiming laser for daylight use
* **IR aiming laser** — 0.7mW Class 1, for use with night vision devices (NVDs)
* **IR illuminator** — 60mW VCSEL-based flood/spot illuminator for NVD use
* **White light** — 1,000 lumens / 25,000 candela LED",1,1176.46,1176.46,Lasers,,332,,,0,Holosun,,,,,,,,,,,New,,,,Picatinny ,,,Laser,Momentary/Constant,,,,,,,,,,,,2026-03-11T08:58:15.517Z,2026-03-11T16:12:08.531Z
65,Kimber Custom II,"The Custom II is Kimber's base/flagship 1911 — the model around which the entire lineup is built. When Kimber originally introduced the Custom in the mid-1990s, it packed features that at the time were only found on custom-built or heavily gunsmithed 1911s: a lowered and flared ejection port, beveled magazine well, extended thumb safety, beavertail grip safety, and match-grade barrel and chamber. The name reflected that — you were getting custom-shop features at a production price.

The ""II"" designation was added when Kimber incorporated their proprietary Kimber Firing Pin Safety system (an internal firing pin block) into the standard model. Any Kimber with ""II"" in the name has this internal drop safety. Models without it (like the MARSOC/ICQB Warrior) do not carry the II suffix.",1,950,950,Handguns,,2,,,0,"Kimber Manufacturing, Inc.",,,,,.45 ACP,K259271,"5"" match-grade stainless steel",Semi-Automatic,Steel,38oz,New,4-5lb,,,,,,,,,,,,,,,,,,,2026-03-12T03:19:36.184Z,2026-03-12T03:19:36.184Z
53,PSA 5.7 Rock,"The PSA 5.7 Rock RK1 is Palmetto State Armory's top-tier configuration of their already impressive 5.7 Rock platform — and it delivers serious performance at a price point that puts its competitors to shame. Chambered in 5.7x28mm with a 23+1 capacity, it edges out the FN Five-seveN by three rounds while costing a fraction of the price. The RK1 builds on the standard Rock with a 5.2"" fluted, threaded carbon steel barrel (1/2x28 TPI) ready for suppressor or muzzle device use, a Cerakote-finished 416 stainless steel slide, and the signature RK1 milled vent windows on both sides of the slide — reducing weight while giving the pistol a distinctly aggressive, tactical look. The delayed blowback striker-fired action delivers a crisp ~3.5 lb trigger pull with a short, audible reset, and the whole package weighs in at just 25 oz empty.",1,549,1054.87,Handguns,,2,,,0,Palmetto State Armory,,,,,5.7x28mm,RK018245,"5.2""",Semi-Automatic,Polymer,25oz,New,3.5lbs,,,,,,,,,,,,,,,,,,,2026-03-12T00:30:55.038Z,2026-03-12T00:30:55.038Z
58,S&W Mod-34 ,"The Smith & Wesson Model 34 ""Kit Gun"" is a six-shot, double-action/single-action revolver chambered in .22 Long Rifle, built on S&W's refined Improved I-Frame — the smaller, more elegant predecessor to the J-Frame that replaced it in 1960. ",1,850,850,Handguns,,2,,,0,Smith & Wesson,,,,,.22LR,15376,"2""",Revolver,Steel,24oz,Excellent,,,,,,,,,,,,,,,,,,,,2026-03-12T02:21:59.664Z,2026-03-12T02:21:59.664Z
57,S&W Model 686-3,"The Smith & Wesson Model 686-3 is a double-action/single-action revolver built on S&W's robust L-Frame platform and chambered for .357 Magnum, with the versatility to also fire .38 Special and .38 Special +P. Introduced in 1988, the -3 designation marks a refined iteration of the 686 lineage, incorporating an improved yoke retention system for tighter cylinder lockup over its predecessors. Constructed entirely of satin stainless steel — frame, barrel, and cylinder — it carries the understated good looks and serious durability that made the 686 a go-to sidearm for law enforcement throughout the 1980s.",1,850,850,Handguns,,2,,,0,Smith & Wesson,,,,,.357 Magnum,BDN3495,"4""",Revolver,Steel,38oz,Like New,3-4lb,,,,,,,,,,,,,,,,,,,2026-03-12T02:13:39.586Z,2026-03-12T02:13:39.586Z
67,S&W Pre-Model 10,"This is a beautifully preserved example of the legendary Smith & Wesson .38 Military & Police revolver, produced in the immediate post-World War II era bearing serial C16774 — placing its manufacture circa 1948–1949, well before S&W formally designated this lineage the ""Model 10"" in 1957. Built on the classic K-frame with a 5-inch pinned barrel and factory blue finish, this six-shot double/single-action revolver represents the transitional period between wartime production and the modern numbered model era. The 5-inch barrel — a favorite among law enforcement agencies of the period — provides a longer sight radius and superior ballistics compared to the more common 4-inch duty configuration, making this variant both more capable and more collectible.

Chambered in .38 Special and featuring the correct five-screw frame construction, half-moon front sight, and swing-out cylinder with fixed sights, this revolver is entirely correct and period-authentic in every detail. The C-prefix serial number series was assigned exclusively to the .38 M&P K-frame beginning in March 1948, making this an early production example from the dawn of that series.",1,900,900,Handguns,,2,,,0,Smith & Wesson,,,,,.38 Special,C16774,"5""",Revolver,Steel,,New,,,,,,,,,,,,,,,,,,,,2026-03-12T03:39:23.957Z,2026-03-12T03:40:31.115Z
41,SMSLaser HFXC,"The SMSLaser HFXC is a 4-in-1, aluminum-bodied laser/illuminator combo featuring 1,000 lumens, an IR laser and an IR illuminator. It is a, budget-friendly, $250-range device with a side-by-side design that uses a single 18650 battery and features a Weaver/Picatinny mount.",1,215,215,Lasers,,332,,,0,,,,,,,,,,,,,,,,,,,Laser,,,,,,,,,,,,,2026-03-10T21:54:55.683Z,2026-03-11T15:57:02.689Z
51,Springfield Armory Hellcat Pro,"Combining the performance of a larger handgun with class-leading concealability and capacity, the Hellcat® Pro is a compact pistol chambered in 9mm that offers 15+1 capacity in a smaller footprint than any other gun in its class. Further enhancing that capacity the Hellcat Pro ships with an all new 17-round extended magazine giving shooters the ability to carry in their preferred configuration. Optics ready and equipped with a versatile accessory rail and hammer forged barrel, this exceptional everyday carry pistol delivers the perfect balance.",1,670,1219.99,Handguns,,2,,,0,Springfield Armory,,,,,9mm,BF378536,"3.7""",Semi-Automatic,Polymer,21oz,New,5.4lbs,,,,,,,,,,,,,,,,,,,2026-03-12T00:04:24.780Z,2026-03-12T00:04:24.780Z
35,Staccato CS,"The **Staccato CS** is the smallest pistol in Staccato's lineup, designed specifically for concealed carry while still delivering the premium 2011-platform feel the brand is known for.

**Platform & Frame**
Built on the 2011 double-stack 1911 platform, the CS features an aluminum frame (vs. the steel frames on larger models), which keeps weight down. It's a compact/subcompact hybrid — shorter grip than the C, but wider than a traditional single-stack.",1,2749,3533.58,Handguns,,2,,,0,Staccato,,,,,9mm,CS24 9747,"3.5""",Semi-Automatic,Aluminum,23oz,New,4.0lbs,,,,,,,,,,34,2749,2,,,,,2026-03-10T00:47:16.225Z,2026-03-10T00:47:16.225Z,2026-03-10T18:35:34.243Z,2026-03-11T23:51:47.780Z
36,Staccato HD P4.5,The P4.5 takes HD performance to the next level. The P4 slide mated to a longer 4.5-inch one-piece sight block barrel maintains the quick slide speed with increased non-reciprocating mass for less muzzle flip.,1,3099,3768.62,Handguns,,2,,,0,Staccato,,,,,9mm,P45-03896,"4.5""",Semi-Automatic,Steel,34oz,New,4lv,,,,,,,,,,37,3099,2,,,,,2026-03-10T14:47:04.294Z,2026-03-10T15:08:04.056Z,2026-03-10T18:35:34.248Z,2026-03-10T18:35:34.248Z
42,Staccato XC,"From elite shooters to everyday range shooters, the Staccato XC delivers incredibly flat and fast shooting. Built with an integrated compensated barrel and a balanced trigger, the XC gives shooters a leg-up on their peers. The increased confidence shooters gain with the XC also makes it a sound choice for home defense.",1,4299.02,4879.610000000001,Handguns,,2,,,0,Staccato,,,,,9mm,XC22 16427,"5.0"" Island Comp",Semi-Automatic,Steel,37.56oz,New,2.5lb,,,,,,,,,,,,,,,,,,,2026-03-11T01:50:32.874Z,2026-03-11T01:50:32.874Z
44,Streamlight TLR-1 HL-X,,1,215.6,215.6,Optics,,332,42,,0,,,,,,,,,,,5.19oz,New,,,,Picatinny,,CR123A (x2),Light,Momentary/Constant,1h,,,,,,1500,15000,245m,,,2026-03-11T01:55:55.590Z,2026-03-11T01:55:55.590Z
39,Streamlight TLR-7 HL-X sub,,1,194.64,194.64,Weapon Lights,,332,35,,0,,,,,,,,,,,,,,,,Picatinny,,,Light,Momentary/Constant,,,,,,,,,,,,2026-03-10T20:12:35.653Z,2026-03-11T16:23:48.990Z
40,Streamlight TLR-7 HL-X sub,,1,194.64,194.64,Weapon Lights,,332,36,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-10T20:13:09.637Z,2026-03-11T19:38:55.053Z
56,Streamlight TLR-7x,"The Streamlight TLR-7 X is a compact, multi-fuel tactical weapon light built for full-size and compact rail-equipped handguns. Delivering 725 lumens and 9,500 candela over a 195-meter beam, it punches well above its weight class in a 2.58-inch, 2.48-ounce package machined from anodized aluminum. ",1,200,200,Optics,,332,51,,0,Streamlight,,,,,,,,,,2.48oz,,,,,Picatinny,,CR123A,Light,Momentary/Constant,,,,,,,725,"9,500",195m,,,2026-03-12T01:35:25.796Z,2026-03-12T01:35:25.796Z
55,Vortex Defender-CCW Micro Red Dot,,1,349.99,349.99,Optics,,332,51,,0,Vortex Optics,,,,,,,,,,,New,,Red Dot,3 MOA,RMR Footprint,,CR1632,Optic,Constant,,,,,,,,,,,,2026-03-12T01:30:54.745Z,2026-03-12T01:30:54.745Z
48,Vortex SPARC Solar,"The SPARC SOLAR harnesses the power of the sun for up to 150,000 hours of battery life. Auto D-TEC technology automatically switches from solar to battery power when the sun can't power the dot to your choice of 10 daytime illumination settings and two night-vision compatible settings. Its daylight bright, 2 MOA dot delivers a clear, precise point of aim, and is motion activation capable for worry-free activation in high stress situations.",1,89.99,89.99,Red Dots,,332,,,0,,,,,,,,,,,5.9oz,New,,Red Dot,2 MOA,Picatinny,,,Optic,,,,,,,,,,,,,2026-03-11T22:58:24.266Z,2026-03-11T22:58:24.266Z
49,Vortex SPARC Solar,"The SPARC SOLAR harnesses the power of the sun for up to 150,000 hours of battery life. Auto D-TEC technology automatically switches from solar to battery power when the sun can't power the dot to your choice of 10 daytime illumination settings and two night-vision compatible settings. Its daylight bright, 2 MOA dot delivers a clear, precise point of aim, and is motion activation capable for worry-free activation in high stress situations.",1,89.99,89.99,Red Dots,,332,,,0,,,,,,,,,,,5.9oz,New,,Red Dot,2 MOA,Picatinny,,,Optic,,,,,,,,,,,,,2026-03-11T22:58:34.664Z,2026-03-11T22:58:34.664Z
50,Vortex SPARC Solar,"The SPARC SOLAR harnesses the power of the sun for up to 150,000 hours of battery life. Auto D-TEC technology automatically switches from solar to battery power when the sun can't power the dot to your choice of 10 daytime illumination settings and two night-vision compatible settings. Its daylight bright, 2 MOA dot delivers a clear, precise point of aim, and is motion activation capable for worry-free activation in high stress situations.",1,89.99,89.99,Red Dots,,332,,,0,,,,,,,,,,,5.9oz,New,,Red Dot,2 MOA,Picatinny,,,Optic,,,,,,,,,,,,,2026-03-11T22:58:43.199Z,2026-03-11T22:58:43.199Z
60,Vortex Viper,"The Vortex Viper is a compact, open-emitter reflex red dot designed primarily for handguns with optics-ready slides. Its defining characteristic is an extremely low profile mounting height, purpose-built to co-witness with suppressor-height iron sights on pistols with direct-mount or milled slides. It sits in Vortex's mid-tier lineup — above the Crossfire, below the Venom and Razor — and represents their most popular pistol-specific red dot in the standard lineup before the newer Defender-CCW series.",1,249,249,Optics,,332,59,,0,Vortex Optics,,,,,,,,,,1.03oz,New,,Red Dot,6 MOA,RMR Footprint,,CR2032,Optic,,,,,,,,,,,,,2026-03-12T02:39:47.658Z,2026-03-12T02:39:47.658Z
61,Vortex Viper,"The Vortex Viper is a compact, open-emitter reflex red dot designed primarily for handguns with optics-ready slides. Its defining characteristic is an extremely low profile mounting height, purpose-built to co-witness with suppressor-height iron sights on pistols with direct-mount or milled slides. It sits in Vortex's mid-tier lineup — above the Crossfire, below the Venom and Razor — and represents their most popular pistol-specific red dot in the standard lineup before the newer Defender-CCW series.",1,249,249,Optics,,332,62,,0,Vortex Optics,,,,,,,,,,1.03oz,New,,Red Dot,6 MOA,RMR Footprint,,CR2032,Optic,,,,,,,,,,,,,2026-03-12T02:42:33.114Z,2026-03-12T02:48:22.907Z
52,Walther P22Q Tactical FDE,"The Walther P22Q Tactical FDE is the original polymer-frame semi-automatic rimfire pistol, and it remains the benchmark in its class. Chambered in .22 LR with a 10+1 capacity, it features a 3.42"" threaded barrel with a 1/2x28 thread pitch, making it suppressor-ready right out of the box. The full FDE finish on both the polymer frame and slide gives it a clean, tactical aesthetic, while the DA/SA trigger — with an 11 lb double-action pull and a crisp 4 lb single-action — offers both safety and precision. At just 16 oz and 6.5"" overall, it's lightweight and easy to handle for shooters of all experience levels.",1,379,379,Handguns,,2,,,0,Walther Arms,,,,,.22LR,WA505957,"3.42""",Semi-Automatic,Polymer,16oz,New,11 lb double action / 4 lb single action,,,,,,,,,,,,,,,,,,,2026-03-12T00:21:08.649Z,2026-03-12T00:21:08.649Z
