ID,Name,Description,Quantity,Unit Value,Total Value,Category,Location,Inventory Type ID,Parent Item ID,Barcode,Reorder Point,manufacturer,casing,roundCount,grainWeight,cartridgeType,caliber,reticleType,magnification,mountType,eyeRelief,batteryType,weight,accessoryType,activationMethod,condition,serialNumber,barrelLength,action,triggerPull,frame,ID,Total Value,Inventory Type ID,Parent Item ID,lumens,candela,beamDistance,runtime,Created At,Updated At,Created At,Updated At
36,Staccato HD P4.5,The P4.5 takes HD performance to the next level. The P4 slide mated to a longer 4.5-inch one-piece sight block barrel maintains the quick slide speed with increased non-reciprocating mass for less muzzle flip.,1,3099,3768.62,Handguns,,2,,,0,Staccato,,,,,9mm,,,,,,34oz,,,New,P45-03896,"4.5""",Semi-Automatic,4lv,Steel,37,3099,2,,,,,,2026-03-10T14:47:04.294Z,2026-03-10T15:08:04.056Z,2026-03-10T18:35:34.248Z,2026-03-10T18:35:34.248Z
42,Staccato XC,"From elite shooters to everyday range shooters, the Staccato XC delivers incredibly flat and fast shooting. Built with an integrated compensated barrel and a balanced trigger, the XC gives shooters a leg-up on their peers. The increased confidence shooters gain with the XC also makes it a sound choice for home defense.",1,4299.02,4879.610000000001,Handguns,,2,,,0,Staccato,,,,,9mm,,,,,,37.56oz,,,New,XC22 16427,"5.0"" Island Comp",Semi-Automatic,2.5lb,Steel,,,,,,,,,,,2026-03-11T01:50:32.874Z,2026-03-11T01:50:32.874Z
44,Streamlight TLR-1 HL-X,,1,215.6,215.6,Optics,,332,42,,0,,,,,,,,,Picatinny,,CR123A (x2),5.19oz,Light,Momentary/Constant,New,,,,,,,,,,1500,15000,245m,1h,,,2026-03-11T01:55:55.590Z,2026-03-11T01:55:55.590Z
39,Streamlight TLR-7 HL-X sub,,1,194.64,194.64,Weapon Lights,,332,35,,0,,,,,,,,,Picatinny,,,,Light,Momentary/Constant,,,,,,,,,,,,,,,,,2026-03-10T20:12:35.653Z,2026-03-11T16:23:48.990Z
40,Streamlight TLR-7 HL-X sub,,1,194.64,194.64,Weapon Lights,,332,36,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-10T20:13:09.637Z,2026-03-11T19:38:55.053Z
56,Streamlight TLR-7x,"The Streamlight TLR-7 X is a compact, multi-fuel tactical weapon light built for full-size and compact rail-equipped handguns. Delivering 725 lumens and 9,500 candela over a 195-meter beam, it punches well above its weight class in a 2.58-inch, 2.48-ounce package machined from anodized aluminum. ",1,200,200,Optics,,332,51,,0,Streamlight,,,,,,,,Picatinny,,CR123A,2.48oz,Light,Momentary/Constant,,,,,,,,,,,725,"9,500",195m,,,,2026-03-12T01:35:25.796Z,2026-03-12T01:35:25.796Z
55,Vortex Defender-CCW Micro Red Dot,,1,349.99,349.99,Optics,,332,51,,0,Vortex Optics,,,,,,Red Dot,3 MOA,RMR Footprint,,CR1632,,Optic,Constant,New,,,,,,,,,,,,,,,,2026-03-12T01:30:54.745Z,2026-03-12T01:30:54.745Z
48,Vortex SPARC Solar,"The SPARC SOLAR harnesses the power of the sun for up to 150,000 hours of battery life. Auto D-TEC technology automatically switches from solar to battery power when the sun can't power the dot to your choice of 10 daytime illumination settings and two night-vision compatible settings. Its daylight bright, 2 MOA dot delivers a clear, precise point of aim, and is motion activation capable for worry-free activation in high stress situations.",1,89.99,89.99,Red Dots,,332,,,0,,,,,,,Red Dot,2 MOA,Picatinny,,,5.9oz,Optic,,New,,,,,,,,,,,,,,,,2026-03-11T22:58:24.266Z,2026-03-11T22:58:24.266Z
49,Vortex SPARC Solar,"The SPARC SOLAR harnesses the power of the sun for up to 150,000 hours of battery life. Auto D-TEC technology automatically switches from solar to battery power when the sun can't power the dot to your choice of 10 daytime illumination settings and two night-vision compatible settings. Its daylight bright, 2 MOA dot delivers a clear, precise point of aim, and is motion activation capable for worry-free activation in high stress situations.",1,89.99,89.99,Red Dots,,332,,,0,,,,,,,Red Dot,2 MOA,Picatinny,,,5.9oz,Optic,,New,,,,,,,,,,,,,,,,2026-03-11T22:58:34.664Z,2026-03-11T22:58:34.664Z
50,Vortex SPARC Solar,"The SPARC SOLAR harnesses the power of the sun for up to 150,000 hours of battery life. Auto D-TEC technology automatically switches from solar to battery power when the sun can't power the dot to your choice of 10 daytime illumination settings and two night-vision compatible settings. Its daylight bright, 2 MOA dot delivers a clear, precise point of aim, and is motion activation capable for worry-free activation in high stress situations.",1,89.99,89.99,Red Dots,,332,,,0,,,,,,,Red Dot,2 MOA,Picatinny,,,5.9oz,Optic,,New,,,,,,,,,,,,,,,,2026-03-11T22:58:43.199Z,2026-03-11T22:58:43.199Z
52,Walther P22Q Tactical FDE,"The Walther P22Q Tactical FDE is the original polymer-frame semi-automatic rimfire pistol, and it remains the benchmark in its class. Chambered in .22 LR with a 10+1 capacity, it features a 3.42"" threaded barrel with a 1/2x28 thread pitch, making it suppressor-ready right out of the box. The full FDE finish on both the polymer frame and slide gives it a clean, tactical aesthetic, while the DA/SA trigger — with an 11 lb double-action pull and a crisp 4 lb single-action — offers both safety and precision. At just 16 oz and 6.5"" overall, it's lightweight and easy to handle for shooters of all experience levels.",1,379,379,Handguns,,2,,,0,Walther Arms,,,,,.22LR,,,,,,16oz,,,New,WA505957,"3.42""",Semi-Automatic,11 lb double action / 4 lb single action,Polymer,,,,,,,,,,,2026-03-12T00:21:08.649Z,2026-03-12T00:21:08.649Z
